"CC(CC1=CC=CC=C1)N(C)CC#C"
"C1=CC=C2C(=C1)C(=O)C(=CO2)C(=O)O"
"CC1=CC2=C(C=C1)OC(=O)C(=C2)C3=CC(=CC=C3)Br"
"C1=CC2=C(C=CN2)C=C1C(=O)NC3=CC(=C(C=C3)Cl)Cl"
"CC1=CC=C(C=C1)C2=CC3=C(C=CC(=C3)C)OC2=O"
"C1CC(=O)C2=C1C=C(C=C2)OCCCC(F)(F)F"
"CC1=CC(=CC=C1)CCSC2=CC=CC3=C2CCC3NCC#C"
"C1=CC(=CC2=C1C=CC(=O)O2)OCC3=CC=C(C=C3)Br"
"C1=CC2=C(C=C1C(=O)NC3=CC(=C(C=C3)Cl)Cl)C=NN2"
"C1=CC2=C(C=C1C=NC3=CC(=C(C=C3)Cl)Cl)C=NN2"
"C1=CC=C(C=C1)CCCCC2=CC3=C(C=C2)NC(=O)C3=O"
"C1=CC2=C(C=C1C(=O)NC3=CC(=C(C=C3)Cl)F)C=NN2"
"CN1C2=C(C=C(C=C2)C(=O)NC3=CC(=C(C=C3)F)Cl)C=N1"
"CC1=C(C=C(C=C1)NC(=O)C2=COC3=CC=CC=C3C2=O)C"
"C1=CC2=C(C=C1C(=O)NC3=CC(=C(C=C3)F)Cl)C=NN2"
"CC1=CC2=C(C=C1)OC(=O)C(=C2)C3=CC(=C(C=C3)OC)Br"
"CC1=CC(=O)OC2=C1C=CC(=C2)OCCCCC#C"
"CC1=CC2=C(C=C1)OC(=O)C(=C2)C3=CC(=CC=C3)OC"
"CC1=C(C(=O)OC2=C1C=CC(=C2)OCC3=CC=C(C=C3)Br)Cl"
"CCCCCCOC1=CC2=C(C=C1)C=C(C(=O)O2)C(=O)OC"
"CC1=C(C(=O)OC2=C1C=CC(=C2)OCC3=NN=C(S3)C(C)C)C"
"CC1=CC(=O)OC2=C1C=CC(=C2)OCC3=CC=C(C=C3)Br"
"C1CC2=C(C1)C(=O)OC3=C2C=CC(=C3)OCC4=CC=CC=C4"
"CC1=C(C(=O)OC2=C1C=CC(=C2)OCC3=CC(=CC=C3)F)C"
"CN1C2=C(C=C(C=C2)C=NC3=CC(=C(C=C3)Cl)Cl)C=N1"
"CC1=C(C(=O)OC2=C1C=CC(=C2)OCC3=CC=CC=C3)C"
"COCCN1C2=C(C=C(C=C2)C(=O)NC3=CC(=C(C=C3)Cl)Cl)C=N1"
"CC1=C(C(=O)OC2=C1C=CC(=C2)OCC3=CC(=CC=C3)[N+](=O)[O-])C"
"CC1=C(C(=O)OC2=C1C=CC(=C2)OCC3=CC(=C(C=C3)F)F)C"
"C1=CC(=C(C=C1C(=O)NC2=NC3=C(C=C2)NC=C3)Cl)Cl"
"C1=CC=C(C=C1)COC2=CC3=C(C=C2)C4=CC=CC=C4C(=O)O3"
"CC1=C(C(=O)OC2=C1C=CC(=C2)OCC3=CC=C(C=C3)[N+](=O)[O-])C"
"C1=CC=C2C(=C1)C(=O)C(=CO2)C(=O)NC3=CC=C(C=C3)Br"
"CC1=C(C=CC2=C1OC(=O)C3=C2CCC3)OCC(=C)Br"
"CC1=CC(=CC=C1)COC2=CC3=C(C=C2)C(=C(C(=O)O3)C)C"
"C1=CC2=C(C=C1C=NC3=CC(=C(N=C3)Cl)Cl)C=NN2"
"COCCN1C2=C(C=C(C=C2)C=NC3=CC(=C(C=C3)Cl)Cl)C=N1"
"CC(=O)C1=C(C=C(C=C1)OCC2=CC(=CC=C2)Cl)O"
"CC1=C(C(=O)OC2=C1C=CC(=C2)OCC3=CC=C(C=C3)Br)C#N"
"C1=CC=C2C(=C1)C(=O)C(=CO2)C(=O)NC3=CC(=CC=C3)Br"
"COC1=CC=C(C=C1)C2=CC3=CC(=CC(=C3OC2=O)OC)Br"
"CC1=C(C(=O)OC2=C1C=CC(=C2)NCC3=CC=CC=C3)C"
"CC1=CC=C(C=C1)COC2=CC3=C(C=C2)C(=C(C(=O)O3)C)C"
"CS(=O)(=O)C1=CC=C(C=C1)NC(=O)C2=CC3=CC=CC=C3OC2=O"
"C1C2=C(C=C(C=C2)OCC3=CC=C(C=C3)C(F)(F)F)C(=O)O1"
"COC(=O)C1=CC2=C(C=C(C=C2)OCCCCC#C)OC1=O"
"CC1=C(C(=O)OC2=C1C=CC(=C2)OCC3=CC(=CC=C3)C#N)C"
"CN1C=C2C=C(C=CC2=N1)C(=O)NC3=CC(=C(C=C3)Cl)Cl"
"CC1=C(C(=O)OC2=C1C=CC(=C2)OCC3=CC=C(C=C3)Cl)C"
"CC1=CC=C(C=C1)C2=CC3=C(C=CC(=C3)OC)OC2=O"
"CN1C2=C(C=C(C=C2)C(=O)NC3=CC(=C(C=C3)F)F)C=N1"
"C1=CC=C2C(=C1)C(=O)C(=CS2)C(=O)NC3=CC(=CC=C3)Cl"
"CC1=CC(=O)OC2=C1C=CC(=C2)OCC3=CC=CC=C3"
"C1=CC2=C(C=C1C(=O)NC3=CC(=C(C=C3)F)F)C=NN2"
"CC1=C(C(=O)OC2=C1C=CC(=C2)OCC3=C(C(=C(C(=C3F)F)F)F)F)C"
"C1=CC=C2C(=C1)C(=O)SC(=N2)NC(=O)COC3=CC(=CC=C3)Cl"
"CC1=C(C(=O)OC2=C1C=CC(=C2)OCC3=CC(=CC=C3)OC)C"
"C1=CC=C(C=C1)COC2=CC3=C(C=C2)C=CC(=O)O3"
"CC(=NNC1=NC(=CS1)C2=CC=C(C=C2)F)C3=CN=CC=C3"
"C1=CC=C2C(=C1)C(=O)C(=CO2)C(=O)NC3=CC(=CC=C3)O"
"CC1=C(C(=O)OC2=C1C=CC(=C2)OCC3=CC=CC=C3)C#N"
"C1=CC2=C(C=C1C=NC3=CC(=C(C=C3)Cl)F)C=NN2"
"CC1=C(C(=O)OC2=C1C=CC(=C2)OCC3=CC=CC=C3C#N)C"
"C1=CC=C(C=C1)COC2=CC=C(C=C2)C3=NN(N=N3)CCC#N"
"C1=CC(=CC=C1COC2=CC3=C(C=C2)OC=CC3=O)Cl"
"C1=CC(=CC=C1COC2=CC3=C(C=C2)OC=CC3=O)C(F)(F)F"
"C1=CC(=CC(=C1)Br)COC2=CC3=C(C=C2)OC=CC3=O"
"C1=CC2=C(C=C1C=NC3=CC(=C(C=C3)F)Cl)C=NN2"
"C1=CC=C(C(=C1)CCC(=O)NC2=NC3=CC=CC=C3C(=O)S2)Br"
"CC1=C(C(=O)OC2=C1C=CC(=C2)OCC3=CC(=CC=C3)Cl)C"
"C1=CC=C(C=C1)COC2=CC=C(C=C2)C3=NN(C(=O)O3)CCC#N"
"CC1=CC2=C(C=C1)OC(=O)C(=C2)C3=CC(=CC=C3)N"
"CC1=C(C(=O)OC2=C1C=CC(=C2)OCC3=CC=C(C=C3)F)C#N"
"COC1=CC2=C(C=C1)C(=O)C(=CO2)C=CC3=CC=C(C=C3)Cl"
